127.0.0.1 - - [21/Jun/2019:00:04:08 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:04 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:04 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:05 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:05 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:05 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:05 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:06 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:20 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:21 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:05:21 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:14 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:15 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:15 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:15 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:15 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:16 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:16 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:16 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:16 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:21 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:25 +0530] "GET /Jsp15-mini-Project-mvc2/search.html HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:29 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:31 +0530] "GET /Jsp15-mini-Project-mvc2/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:35 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:37 +0530] "GET /Jsp15-mini-Project-mvc2/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:40 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:07:42 +0530] "GET /Jsp15-mini-Project-mvc2/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:29:39 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:34:28 +0530] "GET /Jsp15-mini-Project-mvc2/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:34:38 +0530] "GET /Jsp15-mini-Project-mvc2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:00:34:42 +0530] "POST /Jsp15-mini-Project-mvc2/controller HTTP/1.1" 200 97
